client_id,secteur_activite,taille_entreprise,ca_annuel_k_euros,nb_salaries,region,type_contrat,date_signature,valeur_contrat_euros,statut_client,usage_mensuel_queries,satisfaction_score
CLI036,Cabinet vétérinaire,PME,850,11,Bretagne,Starter,2023-09-20,1200,Trial,25,4.2
CLI037,Société maintenance,PME,2200,28,Hauts-de-France,Pro,2023-03-30,2000,Actif,485,4.1
CLI038,Groupe hôtelier,Grande entreprise,58000,850,Provence-Alpes-Côte d'Azur,Enterprise,2022-09-15,18000,Actif,5200,4.8
CLI039,Cabinet kinésithérapeute,PME,420,5,Centre-Val de Loire,Starter,2023-08-07,1200,Actif,45,3.9
CLI040,Société énergie,ETI,25000,280,Île-de-France,Enterprise,2022-12-20,12500,Actif,3800,4.6
CLI041,Agence web,PME,650,8,Normandie,Starter,2023-06-28,1200,Actif,95,3.6
CLI042,Cabinet psychologue,PME,320,4,Pays de la Loire,Starter,2023-09-15,1200,Trial,15,4.1
CLI043,Société sécurité,ETI,14000,185,Île-de-France,Enterprise,2023-02-05,8500,Actif,2300,4.4
CLI044,Bureau traduction,PME,480,6,Auvergne-Rhône-Alpes,Starter,2023-07-12,1200,Actif,65,3.8
CLI045,Entreprise agroalimentaire,Grande entreprise,89000,1400,Bretagne,Enterprise,2022-10-25,22000,Actif,6500,4.9
CLI046,Cabinet podologue,PME,380,5,Occitanie,Starter,2023-08-30,1200,Actif,35,4.0
CLI047,Société robotique,Scale-up,6800,78,Île-de-France,Enterprise,2023-04-22,4500,Actif,1450,4.7
CLI048,Agence publicité,PME,1100,14,Provence-Alpes-Côte d'Azur,Pro,2023-05-25,2000,Actif,245,3.9
CLI049,Cabinet ostéopathe,PME,290,3,Nouvelle-Aquitaine,Starter,2023-09-08,1200,Trial,18,4.2
CLI050,Société logistique,ETI,35000,420,Hauts-de-France,Enterprise,2022-11-18,15000,Actif,4200,4.8
